# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:15:30Z
# station: Hohenpeißenberg
# abbr: HOP
# country_code: DE
# longitude: 11.0200
# latitude: 47.8000
# height: 986.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1843;60;57;36;181;170;215;208;150;45;145;24;10;387;573;214;121;969;325;1301
1844;60;51;35;79;173;100;298;192;178;92;80;0;287;590;350;106;1020;328;1338
1845;42;64;50;38;150;222;190;217;90;68;50;81;238;629;208;211;907;391;1262
1846;80;50;62;96;116;80;177;261;99;122;52;26;274;518;273;128;829;339;1221
1847;29;73;37;90;70;166;131;165;99;45;19;20;197;462;163;114;721;291;944
1848;30;64;113;110;81;77;175;146;116;55;85;8;304;398;256;133;705;323;1060
1849;80;45;50;85;68;130;50;205;53;122;57;60;203;385;232;185;591;374;1005
1850;65;60;10;125;97;167;217;190;70;134;90;35;232;574;294;73;866;339;1260
1851;20;18;42;69;168;96;250;237;204;127;60;26;279;583;391;111;1024;318;1317
1852;25;60;20;35;120;264;201;277;163;68;64;1;175;742;295;54;1060;251;1298
1853;30;23;65;105;216;200;150;187;118;50;14;25;386;537;182;110;976;204;1183
1854;35;50;30;28;182;199;203;210;55;78;65;32;240;612;198;146;877;371;1167
1855;48;66;82;61;82;125;159;372;140;57;26;31;225;656;223;133;939;246;1249
1856;65;37;30;38;119;238;178;105;119;17;110;35;187;521;246;49;797;216;1091
1857;13;1;40;60;85;108;69;200;122;32;40;26;185;377;194;74;644;189;796
1858;32;16;43;107;118;50;180;114;121;75;75;26;268;344;271;95;690;315;957
1859;29;40;70;97;80;229;89;194;124;89;77;62;247;512;290;149;813;368;1180
1860;23;64;53;45;120;184;200;183;172;68;31;46;218;567;271;112;904;252;1189
1861;64;2;41;31;110;218;265;103;141;9;36;26;182;586;186;120;868;214;1046
1862;64;30;49;98;132;226;101;208;146;82;18;36;279;535;246;82;911;200;1190
1863;34;12;18;41;66;132;176;166;143;35;68;46;125;474;246;163;724;309;937
1864;43;74;43;33;132;253;181;118;164;32;48;27;208;552;244;106;881;251;1148
1865;27;52;65;7;119;51;238;208;12;61;43;6;191;497;116;85;635;304;889
1866;13;66;115;72;54;152;132;201;121;14;75;29;241;485;210;185;732;394;1044
1867;108;48;120;124;156;152;160;255;130;140;23;69;400;567;293;103;977;296;1485
1868;34;0;30;91;90;141;224;93;107;92;74;79;211;458;273;123;746;364;1055
1869;0;44;75;58;116;139;116;227;104;70;96;52;249;482;270;106;760;327;1097
1870;44;10;55;0;12;103;95;332;157;48;80;60;67;530;285;154;699;323;996
1871;57;37;41;100;81;103;165;100;35;62;83;30;222;368;180;105;584;291;894
1872;35;40;41;89;163;200;179;194;52;62;49;50;293;573;163;125;877;311;1154
1873;10;65;75;96;160;164;116;212;115;85;35;14;331;492;235;65;863;213;1147
1874;10;41;28;60;100;155;184;129;57;25;83;60;188;468;165;131;685;288;932
1875;44;27;49;7;99;269;132;132;124;130;75;58;155;533;329;178;763;493;1146
1876;31;89;110;100;80;178;110;81;130;25;89;50;290;369;244;134;679;308;1073
1877;24;60;60;100;93;70;206;200;50;18;25;79;253;476;93;197;719;381;985
1878;98;20;141;49;149;155;188;293;241;66;29;97;339;636;336;183;1075;306;1526
1879;24;62;28;98;92;74;174;182;192;75;88;48;218;430;355;110;812;305;1137
1880;37;25;32;89;105;146;221;152;116;191;48;111;226;519;355;152;829;436;1273
1881;18;23;45;74;117;103;105;186;136;89;27;25;236;394;252;52;721;208;948
1882;18;9;40;64;84;114;213;164;149;85;92;62;188;491;326;104;788;323;1094
1883;29;13;42;46;104;153;240;105;134;57;63;84;192;498;254;165;782;326;1070
1884;61;20;41;106;39;135;233;141;62;146;28;53;186;509;236;90;716;328;1065
1885;9;28;64;26;105;106;194;116;160;82;47;119;195;416;289;158;707;331;1056
1886;22;17;44;76;56;222;115;229;44;46;45;84;176;566;135;111;742;292;1000
1887;14;13;90;26;150;44;184;90;82;70;65;117;266;318;217;225;576;410;945
1888;41;67;50;132;60;158;153;216;220;66;22;7;242;527;308;131;939;269;1192
1889;16;108;50;64;101;174;167;127;188;73;72;32;215;468;333;78;821;256;1172
1890;32;14;33;66;61;144;243;284;146;76;65;13;160;671;287;79;944;292;1177
1891;52;14;72;74;107;74;232;138;120;40;47;79;253;444;207;217;745;338;1049
1892;75;63;34;114;75;187;224;77;230;117;30;34;223;488;377;179;907;357;1260
1893;77;68;31;3;84;75;296;46;97;58;92;37;118;417;247;83;601;291;964
1894;15;31;58;89;136;100;155;158;106;102;15;39;283;413;223;94;744;266;1004
1895;33;22;55;60;115;139;116;164;26;75;63;109;230;419;164;168;620;401;977
1896;47;12;95;133;182;129;118;251;177;39;17;24;410;498;233;128;990;245;1224
1897;37;67;61;74;142;129;230;231;162;54;39;21;277;590;255;158;968;310;1247
1898;20;117;59;46;126;177;149;70;76;126;56;39;231;396;258;137;644;350;1061
1899;86;12;31;84;119;120;94;73;278;50;7;96;234;287;335;238;768;407;1050
1900;94;48;112;84;109;113;224;113;84;48;45;36;305;450;177;97;727;249;1110
