# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:10:15Z
# station: Budapest - Lörinc Airport
# abbr: BUD
# country_code: HU
# longitude: 19.2700
# latitude: 47.4300
# height: 130.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;35;53;20;67;56;58;76;33;35;41;55;47;143;167;131;90;325;227;576
1861;24;19;41;29;50;66;12;28;20;18;53;7;120;106;91;64;205;149;367
1862;37;20;14;55;119;32;10;35;35;9;53;42;188;77;97;82;286;175;461
1863;38;2;31;1;35;14;22;29;40;7;49;29;67;65;96;70;141;173;297
1864;4;37;47;31;51;66;48;25;71;10;45;12;129;139;126;78;292;207;447
1865;42;24;74;0;18;46;22;40;2;38;24;6;92;108;64;47;128;213;336
1866;25;16;104;15;46;23;41;61;24;15;21;40;165;125;60;129;210;205;431
1867;62;27;40;96;42;82;47;49;37;70;29;77;178;178;136;123;353;265;658
1868;33;13;43;36;38;63;41;18;29;46;23;64;117;122;98;100;225;208;447
1869;16;20;39;29;24;27;39;28;34;44;58;81;92;94;136;152;181;262;439
1870;46;25;8;19;48;37;57;101;37;77;76;41;75;195;190;101;299;285;572
1871;48;12;31;31;17;69;11;43;9;47;91;24;79;123;147;85;180;258;433
1872;34;27;35;20;53;64;41;68;80;42;40;24;108;173;162;99;326;190;528
1873;32;43;9;74;60;64;6;16;28;26;27;6;143;86;81;34;248;116;391
1874;9;19;29;18;47;148;61;71;28;8;41;95;94;280;77;122;373;187;574
1875;15;12;16;14;72;120;105;40;9;103;111;28;102;265;223;102;360;368;645
1876;25;49;52;13;67;62;14;30;78;30;45;64;132;106;153;122;264;279;529
1877;19;39;82;83;73;20;36;27;44;26;21;54;238;83;91;117;283;212;524
1878;58;5;48;26;20;57;154;17;67;65;112;54;94;228;244;123;341;343;683
1879;21;48;43;124;80;78;36;17;62;78;32;28;247;131;172;60;397;192;647
1880;7;25;22;29;139;70;12;110;68;52;35;60;190;192;155;98;428;267;629
1881;36;2;82;77;78;67;17;60;53;107;25;13;237;144;185;34;352;180;617
1882;3;18;14;67;25;51;116;80;176;24;79;83;106;247;279;103;515;240;736
1883;16;4;34;59;39;92;86;29;89;50;81;25;132;207;220;45;394;198;604
1884;16;4;22;70;13;78;39;132;12;82;20;39;105;249;114;68;344;180;527
1885;18;11;10;18;109;66;62;62;23;54;32;23;137;190;109;155;340;279;488
1886;90;42;38;43;22;56;4;23;18;49;18;71;103;83;85;105;166;225;474
1887;29;5;53;8;74;4;33;55;55;111;44;122;135;92;210;186;229;357;593
1888;18;46;16;94;30;78;46;51;28;57;13;20;140;175;98;83;327;216;497
1889;21;42;63;94;64;85;70;14;100;77;34;21;221;169;211;57;427;190;685
1890;36;0;22;57;25;48;37;33;5;38;78;30;104;118;121;92;205;242;409
1891;60;2;34;82;56;96;106;54;20;3;48;26;172;256;71;144;414;241;587
1892;74;44;46;37;50;50;12;45;40;77;5;54;133;107;122;148;234;263;534
1893;42;52;33;4;56;143;27;13;26;44;108;18;93;183;178;37;269;196;566
1894;5;14;7;58;82;28;21;25;58;104;12;25;147;74;174;105;272;296;439
1895;40;40;75;53;54;86;43;43;1;86;6;72;182;172;93;106;280;217;599
1896;7;27;19;81;43;59;61;138;51;46;46;38;143;258;143;105;433;257;616
1897;40;27;60;22;102;59;42;27;41;77;5;13;184;128;123;40;293;148;515
1898;9;18;26;100;77;61;24;34;48;51;33;17;203;119;132;70;344;176;498
1899;36;17;22;34;132;28;47;16;71;20;5;41;188;91;96;110;328;194;469
1900;43;26;59;31;119;50;49;61;21;71;83;27;209;160;175;70;331;287;640
